PM2.5,value
99.80583333333334,99.80583333333334
110.9795652173913,110.9795652173913
114.91583333333334,114.91583333333334
119.4040909090909,119.4040909090909
109.26727272727273,109.26727272727273
120.354,120.354
117.14666666666666,117.14666666666666
89.475,89.475
78.73058823529412,78.73058823529412
74.19625,74.19625
70.82388888888889,70.82388888888889
75.49277777777777,75.49277777777777
76.59125,76.59125
71.13,71.13
80.03208333333333,80.03208333333333
94.763,94.763
115.58,115.58
98.59291666666667,98.59291666666667
105.9509090909091,105.9509090909091
103.87291666666665,103.87291666666665
100.6059090909091,100.6059090909091
103.21772727272727,103.21772727272727
102.44625,102.44625
102.87045454545455,102.87045454545455
97.10791666666667,97.10791666666667
99.61916666666667,99.61916666666667
101.05217391304348,101.05217391304348
102.54238095238095,102.54238095238095
98.92823529411764,98.92823529411764
84.15,84.15
88.34299999999999,88.34299999999999
88.705,88.705
86.2075,86.2075
85.78368421052632,85.78368421052632
81.905,81.905
81.71304347826087,81.71304347826087
76.63521739130434,76.63521739130434
72.6225,72.6225
74.72545454545455,74.72545454545455
81.28875000000001,81.28875000000001
73.43631578947368,73.43631578947368
80.394,80.394
98.4475,98.4475
116.14478260869565,116.14478260869565
106.05833333333334,106.05833333333334
90.15714285714286,90.15714285714286
90.09625,90.09625
92.39590909090909,92.39590909090909
94.73666666666666,94.73666666666666
102.07875,102.07875
105.9,105.9
112.56041666666665,112.56041666666665
102.28875,102.28875
100.46208333333334,100.46208333333334
100.08478260869565,100.08478260869565
98.81583333333333,98.81583333333333
100.27749999999999,100.27749999999999
98.34791666666666,98.34791666666666
103.43624999999999,103.43624999999999
100.17916666666667,100.17916666666667
101.84782608695652,101.84782608695652
91.54590909090909,91.54590909090909
96.68062499999999,96.68062499999999
99.8290909090909,99.8290909090909
96.50333333333333,96.50333333333333
103.36999999999999,103.36999999999999
104.61285714285714,104.61285714285714
112.65545454545455,112.65545454545455
106.52583333333332,106.52583333333332
92.31347826086957,92.31347826086957
93.86,93.86
101.96181818181817,101.96181818181817
98.28315789473683,98.28315789473683
92.29304347826088,92.29304347826088
85.02958333333333,85.02958333333333
88.64958333333334,88.64958333333334
90.99380952380952,90.99380952380952
84.28391304347826,84.28391304347826
82.19666666666667,82.19666666666667
77.79375,77.79375
80.10875,80.10875
91.13375,91.13375
96.07,96.07
88.874,88.874
78.80624999999999,78.80624999999999
81.39450000000001,81.39450000000001
83.98826086956522,83.98826086956522
80.5925,80.5925
80.96818181818182,80.96818181818182
70.90347826086956,70.90347826086956
74.93434782608696,74.93434782608696
73.40833333333333,73.40833333333333
71.02000000000001,71.02000000000001
69.95428571428572,69.95428571428572
71.18083333333333,71.18083333333333
75.61833333333333,75.61833333333333
68.13526315789473,68.13526315789473
61.327999999999996,61.327999999999996
61.751666666666665,61.751666666666665
51.54947368421053,51.54947368421053
60.3475,60.3475
69.6025,69.6025
73.71318181818182,73.71318181818182
84.74521739130435,84.74521739130435
85.57454545454546,85.57454545454546
81.77458333333333,81.77458333333333
79.90478260869565,79.90478260869565
79.27434782608695,79.27434782608695
73.695,73.695
66.57142857142857,66.57142857142857
62.53181818181818,62.53181818181818
67.66041666666666,67.66041666666666
70.50541666666668,70.50541666666668
61.74583333333334,61.74583333333334
54.46045454545455,54.46045454545455
53.15956521739131,53.15956521739131
50.90958333333333,50.90958333333333
53.00125,53.00125
59.3165,59.3165
63.44954545454545,63.44954545454545
68.19739130434782,68.19739130434782
68.57307692307693,68.57307692307693
70.05458333333333,70.05458333333333
68.42954545454546,68.42954545454546
58.295,58.295
70.53545454545454,70.53545454545454
74.35043478260869,74.35043478260869
70.87125,70.87125
62.33958333333334,62.33958333333334
62.47416666666666,62.47416666666666
62.67958333333333,62.67958333333333
64.38,64.38
72.71166666666666,72.71166666666666
73.40777777777777,73.40777777777777
74.5047619047619,74.5047619047619
71.8475,71.8475
65.84541666666667,65.84541666666667
